best,threshold,entropy
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,1
2,2,2,2
2,2,2,2
2,2,2,2
2,2,2,2
4,4,4,4
5,5,5,5
5,5,5,5
6,6,6,6
6,6,6,6
7,7,7,7
7,7,7,7
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
9,9,9,9
9,9,9,9
9,9,9,9
10,10,10,10
11,11,11,11
12,12,12,12
12,12,12,12
12,12,12,12
12,12,12,12
12,12,12,12
13,13,13,13
13,13,13,13
13,13,13,13
13,13,13,13
14,14,14,14
14,14,14,14
14,14,14,14
15,15,15,15
15,15,15,15
15,15,15,15
16,16,16,16
17,17,17,17
18,18,18,18
18,18,18,18
18,18,18,18
18,18,18,18
18,18,18,18
18,18,18,18
18,18,18,18
18,18,18,18
18,18,18,18
20,20,20,20
23,23,23,23
24,24,24,24
24,24,24,24
24,24,24,24
25,25,25,24
26,26,26,25
26,26,26,25
27,27,27,26
28,28,28,27
29,29,29,28
29,29,29,28
30,30,30,29
30,30,30,29
31,31,31,30
31,31,31,30
31,31,31,30
31,31,31,30
32,32,32,30
32,32,32,30
32,32,32,30
32,32,32,30
33,33,33,31
33,33,33,31
33,33,33,31
33,33,33,31
34,34,34,32
35,35,35,33
35,35,35,33
35,35,35,33
35,35,35,33
35,35,35,33
35,35,35,33
35,35,35,33
36,36,36,34
36,36,36,34
36,36,36,34
36,36,36,34
36,36,36,34
36,36,36,34
36,36,36,34
36,36,36,34
36,36,36,34
36,36,36,34
36,36,36,34
36,36,36,34
36,36,36,34
37,37,37,35
37,37,37,35
37,37,37,35
38,38,38,36
38,38,38,36
39,39,39,37
39,39,39,37
40,40,40,38
41,41,41,38
42,42,42,39
42,42,42,39
42,42,42,39
42,42,42,39
43,43,43,40
43,43,43,40
43,43,43,40
43,43,43,40
43,43,43,40
43,43,43,40
44,44,44,40
45,45,45,40
45,45,45,40
45,45,45,40
46,46,46,41
47,47,47,42
49,49,49,44
50,50,50,45
51,51,51,46
51,51,51,46
51,51,51,46
51,51,51,46
51,51,51,46
51,51,51,46
51,51,51,46
51,51,51,46
51,51,51,46
51,51,51,46
52,52,52,47
53,53,53,48
53,53,53,48
53,53,53,48
54,54,54,48
54,54,54,48
55,55,55,49
56,56,56,50
56,56,56,50
56,56,56,50
56,56,56,50
56,56,56,50
56,56,56,50
56,56,56,50
56,56,56,50
56,56,56,50
